Year,FIPS,MSA,County,State,Diabetes PrevalenceTotal Both Sex,Diabetes PrevalenceTotal Females,Diabetes PrevalenceTotal Males,Smoking Prevalence Both Any %,Smoking Prevalence Both Daily %,Smoking Prevalence Males Any %,Smoking Prevalence Males Daily %,Smoking Prevalence Females Any %,Smoking Prevalence Females Daily %,Alcohol Use Any %,Alcohol Use Binge %,Alcohol Use Prop. Binge,Obesity Prevalence Females %,Obesity Prevalence Males %,Physical Activity (Any) Prevalence Females %,Physical Activity (Any) Prevalence Males %,Male life expectancy (years),Female life expectancy (years),Life expectancy,"Mortality risk, age 0-5 %","Mortality risk, age 5-25 %","Mortality risk, age 25-45 %","Mortality risk, age 45-65 %","Mortality risk, age 65-85 %",Mortality Rate Alcohol Use Disorders %,Mortality Rate HIV-AIDS & tuberculosis %,"Mortality Rate Diarrhea, lower respiratory %",Mortality Rate Neglected tropical diseases %,Mortality Rate Maternal disorders %,Mortality Rate Neonatal disorders %,Mortality Rate Nutritional deficiencies %,Mortality Rate Neoplasms %,Mortality Rate Cardiovascular diseases %,Mortality Rate Chronic respiratory diseases %,Mortality Rate Cirrhosis & other chronic %,Mortality Rate Digestive diseases %,Mortality Rate Neurological disorders %,Mortality Rate Mental & substance use %,"Mortality Rate Diabetes, urogenital, blood %",Mortality Rate Musculoskeletal disorders %,Mortality Rate Transport injuries %,Mortality Rate Unintentional injuries %,Mortality Rate Self-harm & interpersonal %,"Mortality Rate Forces of nature, war, & legal %"
1999,1001,1,AUTAUGA,ALABAMA,11.58,10.54,12.69,26.41,21.62,28.81,23.45,24.1,19.85,,,,,,,,71.5,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1001,1,AUTAUGA,ALABAMA,12.01,10.94,13.14,25.98,21.21,28.49,23.01,23.56,19.48,,,,,,,,72.1,78.4,74.55,1.05,1.4,3.58,16.32,63.19,1.83,3.62,35.95,0.03,0.22,5.26,3.24,252.92,413.92,71.77,16.94,20.35,102.74,5.03,72.61,3.53,32.93,24.8,22.08,0.23
2001,1001,1,AUTAUGA,ALABAMA,12.46,11.31,13.68,26.5,21.42,29.34,23.19,23.77,19.72,,,,32.29,30.67,68.21,76.72,72.3,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1001,1,AUTAUGA,ALABAMA,12.8,11.63,14.05,26.58,21.24,30.05,23.35,23.23,19.21,39.4,13.6,34.5,33.25,31.61,68.79,77.3,72.5,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1001,1,AUTAUGA,ALABAMA,13.22,12.04,14.48,26.26,20.76,30.17,22.81,22.49,18.77,40.6,13.3,32.7,34.17,32.52,69.2,77.63,72.7,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1001,1,AUTAUGA,ALABAMA,13.23,12.02,14.52,27.09,21.33,30.93,23.59,23.39,19.15,39.2,13,33.2,34.98,32.94,67.39,77.03,72.9,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1001,1,AUTAUGA,ALABAMA,13.56,12.24,14.97,26.41,20.58,30.18,22.7,22.78,18.55,40.7,12.8,31.4,36.61,33.23,67.6,77.21,72.9,78.5,74.71,1.07,1.46,3.75,16.21,61.4,1.82,3.32,35.98,0.06,0.31,5.55,2.65,244.35,368.83,77.13,18.79,19.54,108.75,7.28,78.25,3.44,33.71,25.34,22.97,1.43
2006,1001,1,AUTAUGA,ALABAMA,14.08,12.65,15.61,26.26,20.12,29.53,22.19,23.11,18.11,38.8,12.1,31.3,36.83,33.81,67.26,76.72,72.9,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1001,1,AUTAUGA,ALABAMA,14.32,13.05,15.66,25.55,19.6,28.06,21.58,23.14,17.7,40.6,12.8,31.4,37.88,33.6,67.39,77.32,72.9,78,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1003,1,BALDWIN,ALABAMA,9.71,7.9,11.64,25.96,20.36,28.62,22.32,23.39,18.47,,,,,,,,73.9,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,
