Year,FIPS,MSA,County,State,Diabetes PrevalenceTotal Both Sex,Diabetes PrevalenceTotal Females,Diabetes PrevalenceTotal Males,Smoking Prevalence Both Any %,Smoking Prevalence Both Daily %,Smoking Prevalence Males Any %,Smoking Prevalence Males Daily %,Smoking Prevalence Females Any %,Smoking Prevalence Females Daily %,Alcohol Use Any %,Alcohol Use Binge %,Alcohol Use Prop. Binge,Obesity Prevalence Females %,Obesity Prevalence Males %,Physical Activity (Any) Prevalence Females %,Physical Activity (Any) Prevalence Males %,Male life expectancy (years),Female life expectancy (years),Life expectancy,"Mortality risk, age 0-5 %","Mortality risk, age 5-25 %","Mortality risk, age 25-45 %","Mortality risk, age 45-65 %","Mortality risk, age 65-85 %",Mortality Rate Alcohol Use Disorders %,Mortality Rate HIV-AIDS & tuberculosis %,"Mortality Rate Diarrhea, lower respiratory %",Mortality Rate Neglected tropical diseases %,Mortality Rate Maternal disorders %,Mortality Rate Neonatal disorders %,Mortality Rate Nutritional deficiencies %,Mortality Rate Neoplasms %,Mortality Rate Cardiovascular diseases %,Mortality Rate Chronic respiratory diseases %,Mortality Rate Cirrhosis & other chronic %,Mortality Rate Digestive diseases %,Mortality Rate Neurological disorders %,Mortality Rate Mental & substance use %,"Mortality Rate Diabetes, urogenital, blood %",Mortality Rate Musculoskeletal disorders %,Mortality Rate Transport injuries %,Mortality Rate Unintentional injuries %,Mortality Rate Self-harm & interpersonal %,"Mortality Rate Forces of nature, war, & legal %"
1999,1005,0,BARBOUR,ALABAMA,13.84,13.03,14.69,28.45,22.53,33.44,25.88,23.64,19.3,,,,,,,,69.8,77,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1005,0,BARBOUR,ALABAMA,14.57,13.76,15.44,28.41,22.18,33.23,25.4,23.76,19.08,,,,,,,,69.8,76.8,74.13,1.24,1.57,4.06,17.01,61.68,2.74,6.33,39.81,0.04,0.28,6.65,2.89,271.62,364.29,65.19,17.61,19.87,107.89,5.38,77.21,3.62,33.18,27.84,26.02,0.3
2001,1005,0,BARBOUR,ALABAMA,15.25,14.46,16.1,28.98,22.27,33.71,25.58,24.41,19.07,,,,42.8,32.31,57.74,65.61,70.2,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1005,0,BARBOUR,ALABAMA,15.65,14.87,16.47,28.69,21.88,33.64,25.48,23.92,18.4,36,12.8,35.5,43.44,33.12,58.48,66.21,70.1,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1005,0,BARBOUR,ALABAMA,16.13,15.37,16.93,28.32,21.58,33.69,25.34,23.14,17.95,37.9,12.5,33,44,34.04,59.26,66.8,70.4,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1005,0,BARBOUR,ALABAMA,16.28,15.55,17.07,28.81,22.02,34.59,26.11,23.24,18.09,35.8,12.1,33.9,45.26,35.61,58.88,66.99,70.3,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1005,0,BARBOUR,ALABAMA,16.79,15.96,17.67,27.7,20.91,33.74,25.49,21.87,16.48,37.4,11.9,31.8,47.09,37.26,60.15,65.43,70.5,76.7,74.3,1.25,1.62,4.25,16.98,59.37,2.81,6.19,38.19,0.08,0.38,6.9,2.27,262.79,301.04,66.93,19.2,18.14,124.29,7.18,77.96,3.33,34.58,27.38,27.4,1.7
2006,1005,0,BARBOUR,ALABAMA,17.96,17.1,18.89,27.71,20.68,34.14,24.91,21.51,16.6,34.4,10.7,31.2,49.35,39.73,59.95,63.98,70.6,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1005,0,BARBOUR,ALABAMA,18.28,17.66,18.93,27.81,20.49,33.63,24.31,22.2,16.82,35.5,11.1,31.2,50.28,40.88,59.92,65.63,71,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1007,0,BIBB,ALABAMA,11.99,11.16,12.87,30.08,24.5,34.56,27.55,25.76,21.55,,,,,,,,69.6,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1007,0,BIBB,ALABAMA,12.64,11.88,13.44,29.58,24.1,34.08,27.24,25.23,21.07,,,,,,,,70,76.1,73.56,1.24,1.6,4.15,17.76,64.28,1.87,2.89,46.09,0.04,0.3,6.59,3.42,256.23,463.34,74.13,15.81,21.16,78.38,6.22,88.83,3.78,39.81,29.11,23.8,0.4
2001,1007,0,BIBB,ALABAMA,13.16,12.28,14.1,29.93,24.23,34,27.08,26.01,21.48,,,,38.58,35.03,60.58,65.62,69.9,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1007,0,BIBB,ALABAMA,13.48,12.55,14.46,30.55,24.6,34.38,26.89,26.85,22.4,31.1,11.3,36.4,39.48,35.84,61.8,66.81,69.8,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1007,0,BIBB,ALABAMA,13.81,12.87,14.81,31.13,25.3,34.92,27.42,27.47,23.26,33.3,11.3,33.9,39.5,36.55,62.6,67.05,69.7,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1007,0,BIBB,ALABAMA,13.8,12.81,14.85,30.93,25.24,34.67,27.9,27.32,22.68,32.3,11.4,35.1,40.71,37.57,63.48,67.77,69.5,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1007,0,BIBB,ALABAMA,14.27,13.17,15.43,30.22,24.12,34.14,26.2,26.43,22.12,33.9,11,32.6,40.86,38.83,60.79,66.82,69.5,76.4,73.38,1.29,1.75,4.51,18.17,62.86,1.65,2.65,43.32,0.07,0.37,7.14,2.69,248.1,409.25,76.93,18,19.54,79.62,9.6,88.44,3.52,41.23,28.26,25.66,2.28
2006,1007,0,BIBB,ALABAMA,14.91,13.72,16.18,29.37,23.16,33.57,25.09,25.32,21.3,32,10.5,32.7,42.61,38.88,59.95,66.77,69.6,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1007,0,BIBB,ALABAMA,15.27,14.32,16.29,29,22.67,32.98,24.37,25.16,21.04,33.1,10.9,32.8,45.03,39.34,59.42,67.85,69.8,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1011,0,BULLOCK,ALABAMA,16.86,16.93,16.79,28.69,22.02,35.39,26.96,22.22,17.26,,,,,,,,67.1,75,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1011,0,BULLOCK,ALABAMA,17.9,18.04,17.75,28.43,21.84,34.94,26.61,22.15,17.24,,,,,,,,67.3,75,72.27,1.57,1.82,4.98,20.21,63.41,3.65,7.63,39.24,0.07,0.44,8.94,4.05,257.98,441.62,50.81,17.37,22.07,102.21,6.45,107.68,4.1,49.1,30.14,25.13,0.49
2001,1011,0,BULLOCK,ALABAMA,19.09,19.33,18.83,28.71,21.98,35.74,27.04,21.92,17.1,,,,51.05,36.66,53.38,61.59,67.5,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1011,0,BULLOCK,ALABAMA,19.6,19.92,19.26,29.09,21.76,35.87,26.6,22.55,17.1,34.9,12.2,34.9,51.69,37.55,54.77,62.74,68,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1011,0,BULLOCK,ALABAMA,19.79,20.13,19.43,29.16,21.48,36.62,26.64,21.97,16.5,37,12.5,33.7,52.02,38.31,56.95,65.08,68.5,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1011,0,BULLOCK,ALABAMA,20.03,20.43,19.6,29.85,21.72,37.93,27.28,22.06,16.36,34.5,12.2,35.4,53.94,38.59,56.35,64.23,68.8,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1011,0,BULLOCK,ALABAMA,21.49,22,20.93,28.67,20.55,36.47,26.16,21.15,15.14,34.2,11.2,32.9,55.61,39.69,56.67,62.22,68.5,75.5,72.62,1.6,1.81,5.09,19.89,60.08,3.87,7.05,37.86,0.12,0.56,9.37,3.43,250.82,391.51,53.41,19.4,21.38,116.97,8.87,113.66,3.87,50.14,28.6,24.66,2.59
2006,1011,0,BULLOCK,ALABAMA,21.55,21.82,21.26,28.35,20.19,35.7,25.22,21.25,15.34,33.9,11.5,33.9,54.62,40.18,58.69,64.5,68.7,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1011,0,BULLOCK,ALABAMA,22.47,23.21,21.69,28.06,19.95,35.01,24.61,21.35,15.45,34.2,11.8,34.6,55.63,40.2,59.07,65.95,68.4,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1013,0,BUTLER,ALABAMA,13.62,13.28,13.99,28.13,22.33,32.88,26.47,23.54,18.33,,,,,,,,68.8,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1013,0,BUTLER,ALABAMA,14.25,13.91,14.6,28.41,22.6,33.05,26.34,23.93,19,,,,,,,,68.9,76.8,73.17,1.35,1.73,4.83,18.68,61.85,1.89,5.89,43.34,0.05,0.39,6.45,2.56,244.16,448.95,60.6,17.88,17.85,74.36,4.69,84.12,3.86,40.32,25.47,30.7,0.36
2001,1013,0,BUTLER,ALABAMA,14.81,14.42,15.22,28.35,22.67,32.16,25.55,24.68,19.89,,,,41.79,31.69,62.65,68.4,69.2,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,
